date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence
2025-01-31,2025-01-31 12:16:00+00:00,2025-01-31T13:08:00.000000,long,Normal,1.03779,1.03735,1.03911,1.03911,4.4,0.23,10.0,win,30.0,1030.0,1,divergence|magnets,asia_low,2,1.03755,False
2025-02-04,2025-02-04 14:47:00+00:00,2025-02-04T14:48:00.000000,short,Normal,1.03515,1.03536,1.03452,1.03536,2.1,0.49,10.3,loss,-10.3,1019.7,1,quarters|magnets,prev_day_high,3,1.03516,False
2025-02-13,2025-02-13 13:02:00+00:00,2025-02-13T13:30:00.000000,long,Normal,1.03888,1.03839,1.04035,1.03839,4.9,0.21,10.2,loss,-10.2,1009.5,1,quarters|magnets,asia_low,2,1.03859,False
2025-03-06,2025-03-06 13:43:00+00:00,2025-03-06T13:48:00.000000,short,Normal,1.08204,1.08233,1.08117,1.08233,2.9,0.34,10.1,loss,-10.1,999.41,1,divergence|quarters|magnets,asia_high,2,1.08213,True
2025-03-21,2025-03-21 13:36:00+00:00,2025-03-21T14:49:00.000000,long,Normal,1.08237,1.08166,1.0845,1.08166,7.1,0.14,9.99,loss,-9.99,989.41,1,divergence|magnets,asia_low,2,1.08186,False
2025-03-25,2025-03-25 13:09:00+00:00,2025-03-25T13:36:00.000000,short,Normal,1.08066,1.08133,1.07865,1.08133,6.7,0.15,9.89,loss,-9.89,979.52,1,divergence|quarters,asia_high,2,1.08113,False
2025-03-26,2025-03-26 13:03:00+00:00,2025-03-26T13:15:00.000000,long,Normal,1.0777,1.07725,1.07905,1.07905,4.5,0.22,9.8,win,29.39,1008.91,1,divergence|quarters|magnets,prev_day_low,3,1.07745,True
2025-03-26,2025-03-26 13:10:00+00:00,2025-03-26T14:56:00.000000,long,Normal,1.07803,1.07744,1.0798,1.07744,5.9,0.17,10.09,loss,-10.09,998.82,2,quarters|magnets,asia_low,2,1.07764,False
2025-03-31,2025-03-31 13:03:00+00:00,2025-03-31T14:02:00.000000,long,Normal,1.08074,1.08013,1.08257,1.08013,6.1,0.16,9.99,loss,-9.99,988.83,1,divergence|quarters|magnets,prev_day_low,3,1.08033,True
2025-04-07,2025-04-07 12:54:00+00:00,2025-04-07T13:47:00.000000,short,Normal,1.09812,1.09932,1.09452,1.09452,12.0,0.08,9.89,win,29.66,1018.49,1,divergence|magnets,asia_high,2,1.09912,False
2025-04-07,2025-04-07 14:57:00+00:00,2025-04-07T15:00:00.000000,long,Normal,1.09248,1.09156,1.09524,1.09156,9.2,0.11,10.18,loss,-10.18,1008.31,2,quarters|magnets,asia_low,2,1.09176,False
2025-04-14,2025-04-14 13:11:00+00:00,2025-04-14T13:23:00.000000,long,Normal,1.1308,1.13009,1.13293,1.13009,7.1,0.14,10.08,loss,-10.08,998.22,1,quarters|magnets,prev_day_low,3,1.13029,False
2025-04-15,2025-04-15 13:02:00+00:00,2025-04-15T13:12:00.000000,long,Normal,1.13166,1.13108,1.1334,1.13108,5.8,0.17,9.98,loss,-9.98,988.24,1,divergence|quarters|magnets,asia_low,2,1.13128,True
2025-04-23,2025-04-23 12:07:00+00:00,2025-04-23T13:29:00.000000,short,Normal,1.14134,1.14186,1.13978,1.13978,5.2,0.2,9.88,win,29.65,1017.89,1,divergence|magnets,asia_high,2,1.14166,False
2025-04-23,2025-04-23 12:10:00+00:00,2025-04-23T13:37:00.000000,short,Normal,1.14091,1.14184,1.13812,1.13812,9.3,0.11,10.18,win,30.54,1048.43,2,divergence|magnets,asia_high,2,1.14164,False
2025-04-23,2025-04-23 14:14:00+00:00,2025-04-23T14:57:00.000000,long,Normal,1.13681,1.1345,1.14374,1.1345,23.1,0.04,10.48,loss,-10.48,1037.94,3,divergence|quarters|magnets,asia_low,2,1.1347,True
2025-05-05,2025-05-05 14:09:00+00:00,2025-05-05T14:18:00.000000,short,Normal,1.13496,1.13527,1.13403,1.13403,3.1,0.34,10.38,win,31.14,1069.08,1,divergence|quarters|magnets,asia_high,2,1.13507,False
2025-05-16,2025-05-16 13:35:00+00:00,2025-05-16T14:02:00.000000,long,Normal,1.11934,1.11871,1.12123,1.11871,6.3,0.17,10.69,loss,-10.69,1058.39,1,divergence|quarters|magnets,asia_low,2,1.11891,True
2025-06-09,2025-06-09 13:10:00+00:00,2025-06-09T13:23:00.000000,long,Normal,1.13947,1.13893,1.14109,1.13893,5.4,0.19,10.58,loss,-10.58,1047.81,1,divergence|quarters|magnets,asia_low,2,1.13913,False
2025-06-10,2025-06-10 12:09:00+00:00,2025-06-10T13:07:00.000000,short,Normal,1.14289,1.14424,1.13884,1.14424,13.5,0.08,10.48,loss,-10.48,1037.33,1,divergence|quarters|magnets,prev_day_high,3,1.14404,True
2025-06-17,2025-06-17 13:21:00+00:00,2025-06-17T14:18:00.000000,short,Normal,1.15646,1.15707,1.15463,1.15463,6.1,0.18,10.37,win,31.12,1068.45,1,divergence|quarters,asia_high,2,1.15687,False
2025-06-20,2025-06-20 12:58:00+00:00,2025-06-20T14:20:00.000000,long,Normal,1.15109,1.15062,1.1525,1.15062,4.7,0.23,10.68,loss,-10.68,1057.76,1,divergence|magnets,asia_low,2,1.15082,False
2025-06-24,2025-06-24 13:35:00+00:00,2025-06-24T14:07:00.000000,long,Normal,1.15861,1.1581,1.16014,1.16014,5.1,0.21,10.58,win,31.73,1089.5,1,divergence|magnets,asia_low,2,1.1583,False
2025-06-24,2025-06-24 13:45:00+00:00,2025-06-24T14:15:00.000000,long,Normal,1.15892,1.15827,1.16087,1.16087,6.5,0.17,10.89,win,32.68,1122.18,2,divergence|magnets,asia_low,2,1.15847,False
2025-06-30,2025-06-30 12:34:00+00:00,2025-06-30T12:38:00.000000,long,Normal,1.17123,1.17083,1.17243,1.17083,4.0,0.28,11.22,loss,-11.22,1110.96,1,quarters|magnets,asia_low,2,1.17103,False
2025-07-01,2025-07-01 14:43:00+00:00,2025-07-01T15:03:00.000000,long,Normal,1.17815,1.17743,1.18031,1.17743,7.2,0.15,11.11,loss,-11.11,1099.85,1,divergence|magnets,asia_low,2,1.17763,False
2025-07-08,2025-07-08 14:24:00+00:00,2025-07-08T15:16:00.000000,long,Normal,1.16876,1.16823,1.17035,1.17035,5.3,0.21,11.0,win,33.0,1132.85,1,divergence|quarters|magnets,prev_day_low,3,1.16843,True
2025-07-15,2025-07-15 13:21:00+00:00,2025-07-15T13:33:00.000000,long,Normal,1.16666,1.16612,1.16828,1.16612,5.4,0.21,11.33,loss,-11.33,1121.52,1,divergence|quarters|magnets,asia_low,2,1.16632,False
2025-07-16,2025-07-16 13:01:00+00:00,2025-07-16T13:09:00.000000,long,Normal,1.16019,1.15991,1.16103,1.15991,2.8,0.4,11.22,loss,-11.22,1110.3,1,quarters|magnets,asia_low,2,1.16011,False
