date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,excellence
2025-01-02,2025-01-02 13:05:00+00:00,2025-01-02T13:30:00.000000,long,Knockout,1.03205,1.03116,1.03472,1.03116,8.9,0.11,10.0,loss,-10.0,990.0,1,divergence|magnets,False
2025-01-03,2025-01-03 12:43:00+00:00,2025-01-03T15:05:00.000000,short,Knockout,1.02964,1.03027,1.02775,1.03027,6.3,0.16,9.9,loss,-9.9,980.1,1,divergence|quarters,False
2025-01-06,2025-01-06 12:11:00+00:00,2025-01-06T13:27:00.000000,short,Knockout,1.04108,1.04325,1.03457,1.04325,21.7,0.05,9.8,loss,-9.8,970.3,1,quarters|magnets,False
2025-01-07,2025-01-07 13:00:00+00:00,2025-01-07T13:20:00.000000,long,Knockout,1.03896,1.03851,1.04031,1.04031,4.5,0.22,9.7,win,29.11,999.41,1,quarters|magnets,False
2025-01-08,2025-01-08 13:00:00+00:00,2025-01-08T19:18:00.000000,long,Knockout,1.02892,1.02788,1.03204,1.03204,10.4,0.1,9.99,win,29.98,1029.39,1,divergence|quarters,False
2025-01-09,2025-01-09 14:19:00+00:00,2025-01-09T16:32:00.000000,short,Knockout,1.03106,1.03165,1.02929,1.02929,5.9,0.17,10.29,win,30.88,1060.27,1,quarters|magnets,False
2025-01-10,2025-01-10 14:12:00+00:00,2025-01-10T15:00:00.000000,long,Normal,1.02527,1.02422,1.02842,1.02422,10.5,0.1,10.6,loss,-10.6,1049.67,1,quarters|magnets,False
2025-01-14,2025-01-14 12:22:00+00:00,2025-01-14T15:39:00.000000,long,Knockout,1.02484,1.02374,1.02814,1.02814,11.0,0.1,10.5,win,31.49,1081.16,1,quarters|magnets,False
2025-01-14,2025-01-14 13:00:00+00:00,2025-01-14T13:27:00.000000,long,Knockout,1.02489,1.02438,1.02642,1.02438,5.1,0.21,10.81,loss,-10.81,1070.35,2,quarters|magnets,False
2025-01-15,2025-01-15 14:32:00+00:00,2025-01-15T15:47:00.000000,short,Normal,1.03377,1.03472,1.03092,1.03092,9.5,0.11,10.7,win,32.11,1102.46,1,quarters|magnets,False
2025-01-15,2025-01-15 14:34:00+00:00,2025-01-15T16:11:00.000000,short,Normal,1.03333,1.03472,1.02916,1.02916,13.9,0.08,11.02,win,33.07,1135.53,2,quarters|magnets,False
2025-01-16,2025-01-16 12:41:00+00:00,2025-01-16T12:44:00.000000,long,Normal,1.02698,1.02643,1.02863,1.02643,5.5,0.21,11.36,loss,-11.36,1124.18,1,divergence|quarters|magnets,False
2025-01-17,2025-01-17 13:34:00+00:00,2025-01-17T14:05:00.000000,long,Knockout,1.02911,1.02834,1.03142,1.02834,7.7,0.15,11.24,loss,-11.24,1112.93,1,divergence|magnets,False
2025-01-21,2025-01-21 12:57:00+00:00,2025-01-21T14:15:00.000000,long,Knockout,1.03537,1.03436,1.0384,1.0384,10.1,0.11,11.13,win,33.39,1146.32,1,divergence|magnets,False
2025-01-21,2025-01-21 12:59:00+00:00,2025-01-21T14:17:00.000000,long,Knockout,1.0354,1.03436,1.03852,1.03852,10.4,0.11,11.46,win,34.39,1180.71,2,divergence|magnets,False
2025-01-27,2025-01-27 12:09:00+00:00,2025-01-27T12:54:00.000000,short,Normal,1.05128,1.05202,1.04906,1.05202,7.4,0.16,11.81,loss,-11.81,1168.91,1,divergence|quarters,False
2025-01-28,2025-01-28 14:41:00+00:00,,short,Knockout,1.04356,1.04429,1.04137,1.04429,7.3,0.16,11.69,loss,-11.69,1157.22,1,divergence|magnets,False
2025-01-29,2025-01-29 13:31:00+00:00,2025-01-29T15:39:00.000000,long,Knockout,1.03889,1.03803,1.04147,1.04147,8.6,0.13,11.57,win,34.72,1191.93,1,divergence|quarters|magnets,False
2025-01-29,2025-01-29 13:53:00+00:00,2025-01-29T15:37:00.000000,long,Knockout,1.03882,1.03802,1.04122,1.04122,8.0,0.15,11.92,win,35.76,1227.69,2,divergence|quarters|magnets,True
2025-01-29,2025-01-29 13:57:00+00:00,2025-01-29T15:42:00.000000,long,Knockout,1.03895,1.03802,1.04174,1.04174,9.3,0.13,12.28,win,36.83,1264.52,3,divergence|quarters|magnets,True
2025-01-31,2025-01-31 13:18:00+00:00,2025-01-31T14:11:00.000000,short,Normal,1.03908,1.03972,1.03716,1.03716,6.4,0.2,12.65,win,37.94,1302.46,1,divergence|magnets,False
2025-02-04,2025-02-04 13:20:00+00:00,2025-02-04T14:00:00.000000,short,Normal,1.03343,1.03413,1.03133,1.03413,7.0,0.19,13.02,loss,-13.02,1289.43,1,divergence|magnets,False
