date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence
2024-01-05,2024-01-05 13:49:00+00:00,2024-01-05T13:53:00.000000,long,Sierra,1.09147,1.09115,1.09243,1.09243,3.2,0.32,10.0,win,30.0,1030.0,1,quarters|magnets,prev_day_low,3,1.09135,False
2024-01-30,2024-01-30 12:50:00+00:00,2024-01-30T12:55:00.000000,short,Normal,1.08429,1.08454,1.08354,1.08454,2.5,0.41,10.3,loss,-10.3,1019.7,1,divergence|quarters|magnets,asia_high,2,1.08434,True
2024-02-09,2024-02-09 13:34:00+00:00,,short,Normal,1.07809,1.07969,1.07329,1.07969,16.0,0.06,10.2,loss,-10.2,1009.5,1,divergence|quarters|magnets,prev_day_high,3,1.07949,True
2024-02-14,2024-02-14 14:56:00+00:00,2024-02-14T15:03:00.000000,short,Normal,1.07136,1.07178,1.0701,1.07178,4.2,0.24,10.1,loss,-10.1,999.41,1,divergence|quarters,asia_high,2,1.07158,False
2024-03-08,2024-03-08 14:12:00+00:00,2024-03-08T14:30:00.000000,short,Normal,1.09535,1.09573,1.09421,1.09573,3.8,0.26,9.99,loss,-9.99,989.41,1,divergence|magnets,prev_day_high,3,1.09553,False
2024-03-18,2024-03-18 14:39:00+00:00,2024-03-18T15:02:00.000000,long,Normal,1.0883,1.08798,1.08926,1.08798,3.2,0.31,9.89,loss,-9.89,979.52,1,divergence|magnets,asia_low,2,1.08818,False
2024-03-27,2024-03-27 14:47:00+00:00,2024-03-27T21:00:00.000000,long,Normal,1.08221,1.08171,1.08371,1.08171,5.0,0.19,9.8,loss,-9.8,969.72,1,divergence|quarters,asia_low,2,1.08191,False
2024-04-03,2024-04-03 12:25:00+00:00,2024-04-03T13:01:00.000000,short,Normal,1.07765,1.07823,1.07591,1.07823,5.8,0.17,9.7,loss,-9.7,960.03,1,quarters|gap,prev_day_high,3,1.07803,False
2024-04-09,2024-04-09 12:10:00+00:00,2024-04-09T12:11:00.000000,short,Normal,1.08655,1.08666,1.08622,1.08666,1.1,0.86,9.6,loss,-9.6,950.43,1,quarters|magnets|gap,asia_high,2,1.08646,False
2024-04-11,2024-04-11 12:32:00+00:00,2024-04-11T12:44:00.000000,long,Normal,1.07396,1.07318,1.0763,1.07318,7.8,0.12,9.5,loss,-9.5,940.92,1,divergence|quarters,asia_low,2,1.07338,False
2024-04-15,2024-04-15 12:02:00+00:00,2024-04-15T12:30:00.000000,short,Normal,1.06553,1.06583,1.06463,1.06463,3.0,0.32,9.41,win,28.23,969.15,1,divergence|quarters|gap,asia_high,2,1.06563,True
2024-04-15,2024-04-15 12:16:00+00:00,2024-04-15T12:30:00.000000,short,Normal,1.06551,1.0658,1.06464,1.06464,2.9,0.34,9.69,win,29.07,998.22,2,divergence|quarters|gap,asia_high,2,1.0656,False
2024-04-23,2024-04-23 13:00:00+00:00,2024-04-23T13:45:00.000000,short,Normal,1.06701,1.06741,1.06581,1.06741,4.0,0.25,9.98,loss,-9.98,988.24,1,magnets|gap,prev_day_high,3,1.06721,False
2024-04-30,2024-04-30 12:12:00+00:00,2024-04-30T12:14:00.000000,short,Normal,1.07183,1.07209,1.07105,1.07209,2.6,0.38,9.88,loss,-9.88,978.36,1,quarters|gap,asia_high,2,1.07189,False
2024-05-09,2024-05-09 12:45:00+00:00,2024-05-09T12:53:00.000000,short,Normal,1.0758,1.07618,1.07466,1.07618,3.8,0.25,9.78,loss,-9.78,968.58,1,magnets|gap,prev_day_high,3,1.07598,False
2024-05-10,2024-05-10 12:40:00+00:00,2024-05-10T12:42:00.000000,long,Normal,1.07726,1.07695,1.07819,1.07695,3.1,0.31,9.69,loss,-9.69,958.89,1,divergence|quarters|magnets,asia_low,2,1.07715,False
2024-05-14,2024-05-14 12:47:00+00:00,2024-05-14T13:07:00.000000,short,Normal,1.08012,1.08108,1.07724,1.08108,9.6,0.1,9.59,loss,-9.59,949.3,1,divergence|magnets|gap,prev_day_high,3,1.08088,True
2024-05-21,2024-05-21 13:38:00+00:00,2024-05-21T13:49:00.000000,long,Normal,1.08554,1.08503,1.08707,1.08503,5.1,0.18,9.49,loss,-9.49,939.81,1,quarters|magnets,prev_day_low,3,1.08523,False
2024-05-23,2024-05-23 13:52:00+00:00,2024-05-23T14:00:00.000000,short,Normal,1.083,1.08368,1.08096,1.08368,6.8,0.14,9.4,loss,-9.4,930.41,1,divergence|quarters|gap,asia_high,2,1.08348,False
