date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence,h4_bias,h1_bias,htf_combined
2024-01-05,2024-01-05 13:49:00+00:00,2024-01-05T13:52:00.000000,long,Sierra,1.09147,1.09115,1.09243,1.09147,3.2,0.31,10.0,be,0.0,1000.0,1,quarters|magnets,prev_day_low,3,1.09135,False,neutral,long,long
2024-01-30,2024-01-30 12:50:00+00:00,2024-01-30T12:55:00.000000,short,Normal,1.08429,1.08454,1.08354,1.08454,2.5,0.4,10.0,loss,-10.0,990.0,1,divergence|quarters|magnets,asia_high,2,1.08434,True,short,short,short
2024-03-08,2024-03-08 14:12:00+00:00,2024-03-08T14:32:00.000000,short,Normal,1.09535,1.09596,1.09352,1.09596,6.1,0.16,9.9,loss,-9.9,980.1,1,divergence|magnets,asia_high,2,1.09576,False,neutral,neutral,neutral
2024-04-09,2024-04-09 12:10:00+00:00,2024-04-09T12:11:00.000000,short,Normal,1.08655,1.08666,1.08622,1.08666,1.1,0.88,9.8,loss,-9.8,970.3,1,quarters|magnets|gap,asia_high,2,1.08646,False,short,short,short
2024-04-11,2024-04-11 13:31:00+00:00,2024-04-11T13:55:00.000000,short,Normal,1.07471,1.07523,1.07315,1.07315,5.2,0.19,9.7,win,29.11,999.41,1,divergence|magnets|gap,asia_high,2,1.07503,True,short,long,neutral
2024-04-15,2024-04-15 14:13:00+00:00,2024-04-15T14:21:00.000000,long,Normal,1.06296,1.06272,1.06368,1.06296,2.4,0.42,9.99,be,0.0,999.41,1,divergence|magnets,prev_day_low,3,1.06292,False,neutral,long,long
2024-04-15,2024-04-15 14:40:00+00:00,2024-04-15T14:41:00.000000,long,Normal,1.06293,1.06274,1.0635,1.06274,1.9,0.52,9.99,loss,-9.99,989.41,2,divergence|magnets,prev_day_low,3,1.06294,False,neutral,long,long
2024-04-30,2024-04-30 12:12:00+00:00,2024-04-30T12:14:00.000000,short,Normal,1.07183,1.07209,1.07105,1.07209,2.6,0.38,9.89,loss,-9.89,979.52,1,quarters|gap,asia_high,2,1.07189,False,short,neutral,short
2024-05-23,2024-05-23 13:52:00+00:00,2024-05-23T14:00:00.000000,short,Normal,1.083,1.08368,1.08096,1.08368,6.8,0.14,9.8,loss,-9.8,969.72,1,divergence|quarters|gap,asia_high,2,1.08348,False,short,short,short
2024-06-05,2024-06-05 13:45:00+00:00,2024-06-05T14:00:00.000000,short,Normal,1.08843,1.089,1.08672,1.08843,5.7,0.17,9.7,be,0.0,969.72,1,divergence|magnets|gap,asia_high,2,1.0888,True,neutral,neutral,neutral
2024-06-05,2024-06-05 14:00:00+00:00,2024-06-05T16:10:00.000000,short,Normal,1.08822,1.08911,1.08555,1.08555,8.9,0.11,9.7,win,29.09,998.82,2,divergence|magnets|gap,asia_high,2,1.08891,True,neutral,neutral,neutral
2024-07-25,2024-07-25 13:53:00+00:00,2024-07-25T14:24:00.000000,short,Normal,1.08404,1.08472,1.082,1.08472,6.8,0.15,9.99,loss,-9.99,988.83,1,quarters|gap,asia_high,2,1.08452,False,long,short,neutral
2024-08-22,2024-08-22 14:25:00+00:00,,long,Normal,1.11055,1.10961,1.11337,1.10961,9.4,0.1,9.89,loss,-9.89,978.94,1,quarters|magnets,prev_day_low,3,1.10981,False,neutral,neutral,neutral
2024-08-27,2024-08-27 14:06:00+00:00,2024-08-27T17:05:00.000000,short,Normal,1.11681,1.11738,1.1151,1.11681,5.7,0.17,9.79,be,0.0,978.94,1,divergence|magnets|gap,asia_high,2,1.11718,True,neutral,neutral,neutral
2024-09-05,2024-09-05 14:09:00+00:00,2024-09-05T14:11:00.000000,short,Sierra,1.10862,1.10888,1.10784,1.10888,2.6,0.37,9.79,loss,-9.79,969.15,1,quarters|gap,asia_high,2,1.10868,False,short,short,short
2024-09-06,2024-09-06 13:54:00+00:00,2024-09-06T13:55:00.000000,long,Normal,1.10732,1.10704,1.10816,1.10732,2.8,0.35,9.69,be,0.0,969.15,1,divergence|magnets,prev_day_low,3,1.10724,False,neutral,long,long
2024-09-06,2024-09-06 14:10:00+00:00,2024-09-06T15:00:00.000000,long,Normal,1.10822,1.10711,1.11155,1.11155,11.1,0.09,9.69,win,29.07,998.22,2,divergence|magnets,prev_day_low,3,1.10731,False,neutral,long,long
2024-09-10,2024-09-10 13:37:00+00:00,2024-09-10T13:42:00.000000,long,Normal,1.10334,1.10294,1.10454,1.10294,4.0,0.25,9.98,loss,-9.98,988.24,1,quarters|magnets,prev_day_low,3,1.10314,False,short,long,neutral
2024-09-13,2024-09-13 14:08:00+00:00,2024-09-13T14:25:00.000000,short,Normal,1.10917,1.10951,1.10815,1.10917,3.4,0.29,9.88,be,0.0,988.24,1,quarters|magnets|gap,asia_high,2,1.10931,False,neutral,short,short
2024-09-13,2024-09-13 14:45:00+00:00,2024-09-13T15:02:00.000000,short,Normal,1.10902,1.10938,1.10794,1.10902,3.6,0.27,9.88,be,0.0,988.24,2,quarters|magnets|gap,asia_high,2,1.10918,False,neutral,short,short
2024-09-18,2024-09-18 14:37:00+00:00,2024-09-18T15:06:00.000000,long,Normal,1.11103,1.11069,1.11205,1.11205,3.4,0.3,9.88,win,29.65,1017.89,1,divergence|quarters|magnets,prev_day_low,3,1.11089,False,neutral,long,long
2024-09-26,2024-09-26 13:10:00+00:00,2024-09-26T13:11:00.000000,short,Normal,1.11461,1.11484,1.11392,1.11461,2.3,0.44,10.18,be,0.0,1017.89,1,divergence|quarters|gap,asia_high,2,1.11464,True,neutral,short,short
2024-09-27,2024-09-27 14:58:00+00:00,2024-09-27T15:03:00.000000,short,Normal,1.1179,1.11809,1.11733,1.11733,1.9,0.55,10.18,win,30.54,1048.43,1,quarters|magnets|gap,asia_high,2,1.11789,False,neutral,neutral,neutral
2024-10-02,2024-10-02 12:14:00+00:00,2024-10-02T12:37:00.000000,short,Normal,1.10723,1.10773,1.10573,1.10573,5.0,0.22,10.48,win,31.45,1079.88,1,magnets|gap,asia_high,2,1.10753,False,neutral,neutral,neutral
2024-10-07,2024-10-07 12:52:00+00:00,2024-10-07T13:07:00.000000,short,Normal,1.09779,1.09807,1.09695,1.09807,2.8,0.38,10.8,loss,-10.8,1069.08,1,divergence|quarters|magnets|gap,asia_high,2,1.09787,True,short,short,short
2024-10-10,2024-10-10 12:33:00+00:00,2024-10-10T16:50:00.000000,short,Normal,1.09432,1.09562,1.09042,1.09042,13.0,0.08,10.69,win,32.07,1101.15,1,divergence|gap,asia_high,2,1.09542,False,neutral,short,short
2024-10-10,2024-10-10 12:35:00+00:00,2024-10-10T12:48:00.000000,short,Normal,1.09411,1.09507,1.09123,1.09411,9.6,0.11,11.01,be,0.0,1101.15,2,divergence|gap,asia_high,2,1.09487,False,neutral,short,short
2024-10-10,2024-10-10 12:57:00+00:00,2024-10-10T13:03:00.000000,short,Normal,1.09435,1.09492,1.09264,1.09492,5.7,0.19,11.01,loss,-11.01,1090.14,3,divergence|magnets|gap,asia_high,2,1.09472,True,neutral,short,short
