date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,sweep_level,sweep_weight,induction_price,excellence,confidence,market_state,h4_bias,h1_bias,htf_combined
2024-01-30,2024-01-30 12:50:00+00:00,2024-01-30T12:55:00.000000,short,Normal,1.08429,1.08454,1.08354,1.08454,2.5,0.23,6.0,loss,-6.0,194.0,1,divergence|quarters|magnets,asia_high,2,1.08434,True,high,ok,short,short,short
2024-01-31,2024-01-31 13:25:00+00:00,2024-01-31T13:30:00.000000,short,Normal,1.0845,1.085,1.083,1.085,5.0,0.11,5.82,loss,-5.82,188.18,1,divergence|quarters|magnets,eq_high,2,1.0848,False,high,ok,long,short,neutral
2024-02-01,2024-02-01 14:38:00+00:00,2024-02-01T14:53:00.000000,short,Normal,1.08197,1.08247,1.08047,1.08247,5.0,0.11,5.65,loss,-5.65,182.53,1,divergence|quarters|magnets,eq_high,2,1.08227,False,high,ok,long,short,neutral
2024-04-05,2024-04-05 12:27:00+00:00,2024-04-05T12:30:00.000000,short,Normal,1.08455,1.08499,1.08323,1.08323,4.4,0.14,5.48,win,16.43,198.96,1,divergence|quarters|gap|magnets,eq_high,2,1.08479,True,high,ok,short,neutral,short
2024-04-09,2024-04-09 12:10:00+00:00,2024-04-09T12:11:00.000000,short,Normal,1.08655,1.08666,1.08622,1.08666,1.1,0.53,5.97,loss,-5.97,192.99,1,quarters|gap|magnets,asia_high,2,1.08646,False,high,ok,short,short,short
2024-04-18,2024-04-18 13:55:00+00:00,2024-04-18T17:06:00.000000,long,Normal,1.06515,1.06464,1.06668,1.06515,5.1,0.11,5.79,be,0.0,192.99,1,divergence|quarters|magnets,eq_low,2,1.06484,False,high,ok,short,long,neutral
2024-04-30,2024-04-30 12:12:00+00:00,2024-04-30T12:14:00.000000,short,Normal,1.07183,1.07209,1.07105,1.07209,2.6,0.22,5.79,loss,-5.79,187.2,1,quarters|gap,asia_high,2,1.07189,False,normal,ok,short,neutral,short
2024-05-23,2024-05-23 13:36:00+00:00,2024-05-23T13:45:00.000000,short,Normal,1.08574,1.0863,1.08406,1.08574,5.6,0.1,5.62,be,0.0,187.2,1,divergence|quarters|gap|magnets,eq_high,2,1.0861,True,high,ok,short,short,short
2024-07-24,2024-07-24 13:42:00+00:00,2024-07-24T13:43:00.000000,short,Normal,1.0859,1.08601,1.08557,1.08601,1.1,0.5,5.62,loss,-5.62,181.59,1,divergence|quarters|gap|magnets,eq_high,2,1.08581,True,high,ok,long,short,neutral
2024-07-31,2024-07-31 13:01:00+00:00,2024-07-31T13:07:00.000000,short,Normal,1.08397,1.08414,1.08346,1.08414,1.7,0.31,5.45,loss,-5.45,176.14,1,divergence|quarters|gap|magnets,eq_high,2,1.08394,True,high,ok,short,short,short
