date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined
2025-01-15,2025-01-15 14:32:00+00:00,2025-01-15T15:47:00.000000,short,Normal,1.03377,1.03472,1.03092,1.03092,9.5,0.07,6.0,win,18.0,218.0,1,quarters|magnets,1.03452,False,short,neutral,short
2025-01-15,2025-01-15 14:34:00+00:00,2025-01-15T16:11:00.000000,short,Normal,1.03333,1.03472,1.02916,1.02916,13.9,0.05,6.54,win,19.62,237.62,2,quarters|magnets,1.03452,False,short,neutral,short
2025-01-15,2025-01-15 14:53:00+00:00,2025-01-15T15:49:00.000000,short,Normal,1.03315,1.03409,1.03033,1.03033,9.4,0.08,7.13,win,21.39,259.01,3,divergence|quarters|magnets,1.03389,True,short,neutral,short
2025-01-16,2025-01-16 14:39:00+00:00,2025-01-16T15:05:00.000000,long,Normal,1.02712,1.02658,1.02874,1.02874,5.4,0.16,7.77,win,23.31,282.32,1,quarters|magnets,1.02678,False,neutral,neutral,neutral
2025-01-16,2025-01-16 15:05:00+00:00,2025-01-16T16:08:00.000000,long,Normal,1.02819,1.02721,1.03113,1.03113,9.8,0.09,8.47,win,25.41,307.72,2,divergence|quarters,1.02741,False,neutral,neutral,neutral
2025-01-22,2025-01-22 14:34:00+00:00,2025-01-22T16:22:00.000000,long,Normal,1.04201,1.04121,1.04441,1.04121,8.0,0.11,9.23,loss,-9.23,298.49,1,divergence|magnets,1.04141,False,long,neutral,long
2025-01-23,2025-01-23 15:52:00+00:00,2025-01-23T16:11:00.000000,long,Normal,1.03954,1.03872,1.042,1.03872,8.2,0.11,8.95,loss,-8.95,289.54,1,divergence|quarters|magnets,1.03892,True,long,short,neutral
2025-01-27,2025-01-27 15:48:00+00:00,2025-01-27T16:39:00.000000,long,Normal,1.04994,1.04918,1.05222,1.04918,7.6,0.11,8.69,loss,-8.69,280.85,1,divergence|magnets,1.04938,False,neutral,neutral,neutral
2025-01-30,2025-01-30 17:21:00+00:00,2025-01-30T18:54:00.000000,short,Normal,1.04195,1.04253,1.04021,1.04253,5.8,0.14,8.43,loss,-8.43,272.43,1,divergence|magnets,1.04233,False,neutral,neutral,neutral
2025-01-31,2025-01-31 15:11:00+00:00,2025-01-31T15:47:00.000000,long,Normal,1.0365,1.03581,1.03857,1.03857,6.9,0.13,8.17,win,24.52,296.94,1,divergence|quarters|magnets,1.03601,False,neutral,long,long
2025-01-31,2025-01-31 15:12:00+00:00,2025-01-31T15:55:00.000000,long,Normal,1.03671,1.03581,1.03941,1.03941,9.0,0.11,8.91,win,26.73,323.67,2,divergence|quarters|magnets,1.03601,True,neutral,long,long
2025-02-04,2025-02-04 15:45:00+00:00,2025-02-04T16:46:00.000000,short,Normal,1.03765,1.03865,1.03465,1.03865,10.0,0.09,9.71,loss,-9.71,313.96,1,quarters|magnets,1.03845,False,long,short,neutral
2025-02-12,2025-02-12 17:11:00+00:00,2025-02-12T17:13:00.000000,short,Normal,1.04008,1.04068,1.03828,1.04068,6.0,0.15,9.42,loss,-9.42,304.54,1,divergence|quarters|magnets,1.04048,False,short,short,short
2025-02-13,2025-02-13 14:33:00+00:00,2025-02-13T15:02:00.000000,long,Normal,1.03872,1.03812,1.04052,1.04052,6.0,0.17,9.14,win,27.41,331.95,1,quarters|magnets,1.03832,False,neutral,long,long
2025-02-13,2025-02-13 14:35:00+00:00,2025-02-13T15:02:00.000000,long,Normal,1.03881,1.03812,1.04088,1.04088,6.9,0.16,9.96,win,29.88,361.83,2,quarters|magnets,1.03832,False,neutral,long,long
2025-02-19,2025-02-19 17:09:00+00:00,,long,Normal,1.04076,1.03989,1.04337,1.03989,8.7,0.12,10.85,loss,-10.85,350.97,1,divergence|quarters|magnets,1.04009,True,long,long,long
2025-02-25,2025-02-25 16:21:00+00:00,2025-02-25T16:52:00.000000,short,Normal,1.05002,1.05057,1.04837,1.05057,5.5,0.19,10.53,loss,-10.53,340.44,1,divergence|quarters|magnets,1.05037,False,long,short,neutral
2025-02-27,2025-02-27 15:15:00+00:00,2025-02-27T15:35:00.000000,long,Normal,1.04158,1.04087,1.04371,1.04158,7.1,0.14,10.21,be,0.0,340.44,1,divergence|magnets,1.04107,False,long,neutral,long
2025-02-27,2025-02-27 15:43:00+00:00,2025-02-27T15:50:00.000000,long,Normal,1.04185,1.04129,1.04353,1.04129,5.6,0.18,10.21,loss,-10.21,330.23,2,divergence|magnets,1.04149,False,long,neutral,long
2025-03-06,2025-03-06 14:30:00+00:00,2025-03-06T14:44:00.000000,short,Normal,1.08192,1.08341,1.07745,1.08341,14.9,0.06,9.91,loss,-9.91,320.32,1,divergence|quarters|magnets,1.08321,False,neutral,neutral,neutral
2025-03-17,2025-03-17 13:40:00+00:00,2025-03-17T13:50:00.000000,short,Normal,1.09116,1.09162,1.08978,1.09162,4.6,0.2,9.61,loss,-9.61,310.71,1,divergence|quarters|magnets,1.09142,True,neutral,neutral,neutral
2025-03-18,2025-03-18 14:13:00+00:00,2025-03-18T14:39:00.000000,long,Normal,1.09022,1.08944,1.09256,1.09256,7.8,0.13,9.32,win,27.96,338.68,1,divergence|quarters|magnets,1.08964,True,short,long,neutral
2025-03-18,2025-03-18 14:15:00+00:00,2025-03-18T15:35:00.000000,long,Normal,1.09045,1.08944,1.09348,1.09348,10.1,0.11,10.16,win,30.48,369.16,2,divergence|quarters|magnets,1.08964,False,short,long,neutral
2025-03-24,2025-03-24 13:36:00+00:00,2025-03-24T13:46:00.000000,long,Normal,1.08052,1.07993,1.08229,1.07993,5.9,0.18,11.07,loss,-11.07,358.08,1,divergence|quarters|magnets,1.08013,True,short,long,neutral
