date,signal_time,exit_time,direction,cycle,entry_price,sl_price,tp_price,exit_price,sl_pips,lots,risk_usd,result,pnl_usd,capital_after,trade_num_day,confirmations,induction_price,excellence,h4_bias,h1_bias,htf_combined,magnet_direction
2025-01-16,2025-01-16 13:22:00+00:00,2025-01-16T13:31:00.000000,long,Normal,1.0269,1.02607,1.02939,1.02607,8.3,0.02,2.0,loss,-2.0,198.0,1,quarters|magnets,1.02627,False,neutral,neutral,neutral,bullish
2025-01-16,2025-01-16 13:37:00+00:00,,long,Normal,1.02773,1.02584,1.0334,1.02584,18.9,0.01,1.98,loss,-1.98,196.02,2,quarters|magnets,1.02604,False,neutral,neutral,neutral,bullish
2025-01-27,2025-01-27 13:17:00+00:00,2025-01-27T23:11:00.000000,short,Normal,1.05193,1.0535,1.04722,1.04722,15.7,0.01,1.96,win,5.88,201.9,1,divergence|quarters|magnets,1.0533,False,neutral,neutral,neutral,bearish
2025-01-27,2025-01-27 13:53:00+00:00,2025-01-27T15:02:00.000000,short,Normal,1.05239,1.05307,1.05035,1.05035,6.8,0.03,2.02,win,6.06,207.96,2,divergence|quarters|magnets,1.05287,False,neutral,neutral,neutral,bearish
2025-01-27,2025-01-27 13:59:00+00:00,2025-01-27T17:05:00.000000,short,Normal,1.05198,1.05307,1.04871,1.04871,10.9,0.02,2.08,win,6.24,214.2,3,divergence|quarters|magnets,1.05287,False,neutral,neutral,neutral,bearish
2025-02-13,2025-02-13 13:06:00+00:00,2025-02-13T13:30:00.000000,long,Normal,1.03921,1.03839,1.04167,1.03839,8.2,0.03,2.14,loss,-2.14,212.05,1,quarters|magnets,1.03859,False,neutral,long,long,bullish
2025-02-13,2025-02-13 13:57:00+00:00,2025-02-13T14:04:00.000000,long,Normal,1.03934,1.03866,1.04138,1.03866,6.8,0.03,2.12,loss,-2.12,209.93,2,quarters|magnets,1.03886,False,neutral,long,long,bullish
2025-03-03,2025-03-03 13:46:00+00:00,2025-03-03T14:03:00.000000,short,Normal,1.04735,1.04782,1.04594,1.04735,4.7,0.04,2.1,be,0.0,209.93,1,quarters|magnets,1.04762,False,neutral,long,long,bearish
2025-03-03,2025-03-03 13:51:00+00:00,2025-03-03T14:21:00.000000,short,Normal,1.04718,1.04782,1.04526,1.04782,6.4,0.03,2.1,loss,-2.1,207.83,2,quarters|magnets,1.04762,False,neutral,long,long,bearish
2025-03-17,2025-03-17 12:06:00+00:00,2025-03-17T12:33:00.000000,short,Normal,1.08991,1.0906,1.08784,1.0906,6.9,0.03,2.08,loss,-2.08,205.76,1,quarters|magnets,1.0904,False,neutral,neutral,neutral,bearish
2025-03-17,2025-03-17 12:35:00+00:00,2025-03-17T13:03:00.000000,short,Normal,1.09019,1.09083,1.08827,1.09083,6.4,0.03,2.06,loss,-2.06,203.7,2,quarters|magnets,1.09063,False,neutral,neutral,neutral,bearish
2025-03-26,2025-03-26 12:36:00+00:00,2025-03-26T13:46:00.000000,long,Normal,1.07729,1.07655,1.07951,1.07951,7.4,0.03,2.04,win,6.11,209.81,1,divergence|quarters|magnets,1.07675,False,long,neutral,long,bullish
2025-03-26,2025-03-26 12:37:00+00:00,2025-03-26T14:56:00.000000,long,Normal,1.07761,1.07655,1.08079,1.07761,10.6,0.02,2.1,be,0.0,209.81,2,divergence|quarters|magnets,1.07675,False,long,neutral,long,bullish
2025-03-31,2025-03-31 12:17:00+00:00,2025-03-31T12:32:00.000000,long,Normal,1.08169,1.081,1.08376,1.081,6.9,0.03,2.1,loss,-2.1,207.71,1,divergence|quarters|magnets,1.0812,False,long,neutral,long,bullish
2025-03-31,2025-03-31 12:19:00+00:00,2025-03-31T12:32:00.000000,long,Normal,1.0819,1.081,1.0846,1.081,9.0,0.02,2.08,loss,-2.08,205.63,2,divergence|quarters|magnets,1.0812,False,long,neutral,long,bullish
2025-04-02,2025-04-02 12:36:00+00:00,2025-04-02T12:41:00.000000,short,Normal,1.08063,1.08134,1.0785,1.08134,7.1,0.03,2.06,loss,-2.06,203.58,1,divergence|quarters|magnets,1.08114,False,neutral,short,short,bearish
2025-04-02,2025-04-02 12:43:00+00:00,2025-04-02T12:57:00.000000,short,Normal,1.08107,1.08169,1.07921,1.08169,6.2,0.03,2.04,loss,-2.04,201.54,2,divergence|quarters|magnets,1.08149,False,neutral,short,short,bearish
2025-04-14,2025-04-14 13:32:00+00:00,2025-04-14T14:25:00.000000,long,Normal,1.13083,1.1296,1.13452,1.13452,12.3,0.02,2.02,win,6.05,207.59,1,quarters|magnets,1.1298,False,neutral,long,long,bullish
2025-05-15,2025-05-15 12:59:00+00:00,2025-05-15T14:35:00.000000,long,Sierra,1.12096,1.11826,1.12906,1.11826,27.0,0.01,2.08,loss,-2.08,205.51,1,quarters|magnets,1.11846,False,neutral,long,long,bullish
2025-05-15,2025-05-15 13:53:00+00:00,2025-05-15T14:20:00.000000,long,Sierra,1.12006,1.11929,1.12237,1.11929,7.7,0.03,2.06,loss,-2.06,203.46,2,divergence|quarters|magnets,1.11949,False,neutral,long,long,bullish
2025-05-16,2025-05-16 12:01:00+00:00,2025-05-16T13:35:00.000000,long,Normal,1.11951,1.11881,1.12161,1.11881,7.0,0.03,2.03,loss,-2.03,201.42,1,quarters|magnets,1.11901,False,neutral,long,long,bullish
2025-05-16,2025-05-16 13:39:00+00:00,2025-05-16T14:02:00.000000,long,Normal,1.11944,1.11859,1.12199,1.11859,8.5,0.02,2.01,loss,-2.01,199.41,2,divergence|quarters|magnets,1.11879,False,neutral,long,long,bullish
2025-06-10,2025-06-10 12:55:00+00:00,2025-06-10T13:03:00.000000,short,Normal,1.14308,1.14402,1.14026,1.14402,9.4,0.02,1.99,loss,-1.99,197.41,1,divergence|quarters|magnets,1.14382,False,neutral,short,short,bearish
2025-06-10,2025-06-10 12:58:00+00:00,2025-06-10T13:03:00.000000,short,Normal,1.14324,1.14402,1.1409,1.14402,7.8,0.03,1.97,loss,-1.97,195.44,2,divergence|quarters|magnets,1.14382,False,neutral,short,short,bearish
2025-06-30,2025-06-30 12:24:00+00:00,2025-06-30T12:33:00.000000,long,Normal,1.17176,1.17097,1.17413,1.17097,7.9,0.02,1.95,loss,-1.95,193.49,1,divergence|quarters|magnets,1.17117,False,neutral,long,long,bullish
2025-06-30,2025-06-30 12:34:00+00:00,2025-06-30T13:54:00.000000,long,Normal,1.17123,1.17071,1.17279,1.17123,5.2,0.04,1.93,be,0.0,193.49,2,quarters|magnets,1.17091,False,neutral,long,long,bullish
2025-07-08,2025-07-08 12:13:00+00:00,2025-07-08T13:09:00.000000,long,Normal,1.17183,1.17118,1.17378,1.17118,6.5,0.03,1.93,loss,-1.93,191.55,1,divergence|quarters|magnets,1.17138,False,neutral,long,long,bullish
2025-07-08,2025-07-08 12:20:00+00:00,2025-07-08T12:44:00.000000,long,Normal,1.17167,1.17118,1.17314,1.17167,4.9,0.04,1.92,be,0.0,191.55,2,divergence|quarters|magnets,1.17138,False,neutral,long,long,bullish
2025-07-09,2025-07-09 12:06:00+00:00,2025-07-09T23:59:00.000000,long,Normal,1.17,1.16875,1.17375,1.17375,12.5,0.02,1.92,win,5.75,197.3,1,divergence|quarters|magnets,1.16895,False,neutral,short,short,bullish
2025-07-09,2025-07-09 12:39:00+00:00,2025-07-09T13:45:00.000000,long,Normal,1.17067,1.16986,1.1731,1.17067,8.1,0.02,1.97,be,0.0,197.3,2,divergence|quarters|magnets,1.17006,False,neutral,short,short,bullish
2025-07-15,2025-07-15 12:13:00+00:00,2025-07-15T12:30:00.000000,long,Normal,1.16671,1.16627,1.16803,1.16671,4.4,0.04,1.97,be,0.0,197.3,1,divergence|quarters|magnets,1.16647,False,neutral,long,long,bullish
2025-07-15,2025-07-15 12:14:00+00:00,2025-07-15T12:30:00.000000,long,Normal,1.16681,1.16627,1.16843,1.16681,5.4,0.04,1.97,be,0.0,197.3,2,divergence|quarters|magnets,1.16647,False,neutral,long,long,bullish
2025-07-16,2025-07-16 12:05:00+00:00,2025-07-16T12:15:00.000000,long,Normal,1.16055,1.15988,1.16256,1.15988,6.7,0.03,1.97,loss,-1.97,195.32,1,divergence|quarters|magnets,1.16008,False,neutral,long,long,bullish
2025-07-16,2025-07-16 12:30:00+00:00,2025-07-16T13:12:00.000000,long,Normal,1.16019,1.15908,1.16352,1.15908,11.1,0.02,1.95,loss,-1.95,193.37,2,quarters|magnets,1.15928,False,neutral,long,long,bullish
2025-07-22,2025-07-22 12:56:00+00:00,2025-07-22T13:01:00.000000,short,Normal,1.16905,1.16961,1.16737,1.16961,5.6,0.03,1.93,loss,-1.93,191.44,1,quarters|magnets,1.16941,False,neutral,short,short,bearish
2025-07-22,2025-07-22 13:07:00+00:00,2025-07-22T13:42:00.000000,short,Normal,1.16863,1.16982,1.16506,1.16982,11.9,0.02,1.91,loss,-1.91,189.52,2,quarters|magnets,1.16962,False,neutral,short,short,bearish
2025-07-23,2025-07-23 12:01:00+00:00,2025-07-23T12:31:00.000000,long,Normal,1.17272,1.17222,1.17422,1.17222,5.0,0.04,1.9,loss,-1.9,187.63,1,quarters|magnets,1.17242,False,neutral,short,short,bullish
2025-07-23,2025-07-23 12:02:00+00:00,2025-07-23T12:31:00.000000,long,Normal,1.17289,1.17222,1.1749,1.17222,6.7,0.03,1.88,loss,-1.88,185.75,2,quarters|magnets,1.17242,False,neutral,short,short,bullish
2025-08-29,2025-08-29 13:11:00+00:00,2025-08-29T13:30:00.000000,long,Normal,1.16574,1.16515,1.16751,1.16574,5.9,0.03,1.86,be,0.0,185.75,1,divergence|quarters|magnets,1.16535,False,long,long,long,bullish
2025-08-29,2025-08-29 13:12:00+00:00,2025-08-29T14:16:00.000000,long,Normal,1.16598,1.16515,1.16847,1.16847,8.3,0.02,1.86,win,5.57,191.32,2,divergence|quarters|magnets,1.16535,False,long,long,long,bullish
2025-08-29,2025-08-29 13:16:00+00:00,2025-08-29T14:32:00.000000,long,Normal,1.16619,1.16515,1.16931,1.16931,10.4,0.02,1.91,win,5.74,197.06,3,divergence|quarters|magnets,1.16535,False,long,long,long,bullish
2025-09-18,2025-09-18 13:31:00+00:00,2025-09-18T13:33:00.000000,long,Normal,1.17852,1.178,1.18008,1.178,5.2,0.04,1.97,loss,-1.97,195.09,1,quarters|magnets,1.1782,False,neutral,short,short,bullish
2025-10-02,2025-10-02 12:08:00+00:00,2025-10-02T13:40:00.000000,short,Normal,1.17532,1.17603,1.17319,1.17319,7.1,0.03,1.95,win,5.85,200.95,1,divergence|quarters|magnets,1.17583,False,neutral,long,long,bearish
2025-10-02,2025-10-02 12:12:00+00:00,2025-10-02T12:57:00.000000,short,Normal,1.17542,1.17603,1.17359,1.17359,6.1,0.03,2.01,win,6.03,206.97,2,divergence|quarters|magnets,1.17583,False,neutral,long,long,bearish
2025-10-02,2025-10-02 13:14:00+00:00,2025-10-02T13:51:00.000000,short,Normal,1.17381,1.17451,1.17171,1.17171,7.0,0.03,2.07,win,6.21,213.18,3,divergence|quarters|magnets,1.17431,False,neutral,long,long,bearish
2025-10-10,2025-10-10 12:05:00+00:00,2025-10-10T15:06:00.000000,long,Normal,1.1568,1.1557,1.1601,1.1601,11.0,0.02,2.13,win,6.4,219.58,1,divergence|quarters|magnets,1.1559,False,neutral,long,long,bullish
2025-10-10,2025-10-10 13:35:00+00:00,2025-10-10T15:02:00.000000,long,Normal,1.15674,1.15603,1.15887,1.15887,7.1,0.03,2.2,win,6.59,226.17,2,quarters|magnets,1.15623,False,neutral,long,long,bullish
2025-10-17,2025-10-17 12:02:00+00:00,2025-10-17T12:10:00.000000,long,Normal,1.16838,1.16782,1.17006,1.16782,5.6,0.04,2.26,loss,-2.26,223.91,1,divergence|quarters|magnets,1.16802,False,neutral,long,long,bullish
2025-10-17,2025-10-17 12:05:00+00:00,2025-10-17T12:10:00.000000,long,Normal,1.16823,1.16782,1.16946,1.16782,4.1,0.05,2.24,loss,-2.24,221.67,2,divergence|quarters|magnets,1.16802,False,neutral,long,long,bullish
2025-10-22,2025-10-22 12:53:00+00:00,2025-10-22T14:53:00.000000,long,Normal,1.15822,1.15747,1.16047,1.16047,7.5,0.03,2.22,win,6.65,228.32,1,divergence|quarters|magnets,1.15767,False,neutral,long,long,bullish
2025-10-22,2025-10-22 12:54:00+00:00,2025-10-22T15:03:00.000000,long,Normal,1.15849,1.15747,1.16155,1.16155,10.2,0.02,2.28,win,6.85,235.17,2,divergence|quarters|magnets,1.15767,False,neutral,long,long,bullish
